query,no,token,pos
경주 여행,1,동궁,NNG
경주 여행,1,월지,NNG
경주 여행,1,첨성대,NNG
경주 여행,1,야경,NNG
경주 여행,1,연꽃,NNG
경주 여행,1,단지,MAG
경주 여행,1,분황사,NNG
경주 여행,1,방문,NNG
경주 여행,1,다시,MAG
경주 여행,1,남겨,VV+EC
경주 여행,1,이웃,NNG
경주 여행,1,지내,VV
경주 여행,1,나요,EF
경주 여행,1,지난주,NNG
경주 여행,1,blog,SL
경주 여행,1,naver,SL
경주 여행,1,com,SL
경주 여행,1,예전,NNG
경주 여행,1,사진,NNG
경주 여행,1,떠나,VV
경주 여행,1,진다,VX+EC
경주 여행,2,경북,NNP
경주 여행,2,천문,NNG
경주 여행,2,기상,NNG
경주 여행,2,관측대,NNG
경주 여행,2,첨성대,NNG
경주 여행,2,일자,NNG
경주 여행,2,2016,SN
경주 여행,2,인원,NNG
경주 여행,2,친구,NNG
경주 여행,2,함께,MAG
경주 여행,2,첨성대,NNG
경주 여행,2,경북,NNP
경주 여행,2,인왕동,NNP
경주 여행,2,839,SN
경주 여행,2,전화,NNG
경주 여행,2,054,SN
경주 여행,2,779,SN
경주 여행,2,8741,SN
경주 여행,2,첨성대,NNG
경주 여행,2,관람료,NNG
경주 여행,2,무료,NNG
경주 여행,2,경북,NNP
경주 여행,2,이야기,NNG
경주 여행,2,첨성대,NNG
경주 여행,2,에서,JKB
경주 여행,2,바라본,VV+ETM
경주 여행,2,대릉원,NNG
경주 여행,2,야경,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,감사,NNG
경주 여행,3,합니다,XSV+EF
경주 여행,3,구매,NNG
경주 여행,3,https,SL
경주 여행,3,smartstore,SL
경주 여행,3,naver,SL
경주 여행,3,com,SL
경주 여행,3,dptour,SL
경주 여행,3,products,SL
경주 여행,3,5981873243,SN
경주 여행,3,플레이스,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,돌고래,NNG
경주 여행,3,돌핀,NNG
경주 여행,3,스토어,NNG
경주 여행,3,플레이스,NNG
경주 여행,3,데이,NNG
경주 여행,3,택시,NNG
경주 여행,3,투어,NNG
경주 여행,3,smartstore,SL
경주 여행,3,naver,SL
경주 여행,3,com,SL
경주 여행,4,설레임,VV+ETN
경주 여행,4,패밀리,NNG
경주 여행,4,일상,NNG
경주 여행,4,오늘,NNG
경주 여행,4,목적지,NNG
경주 여행,4,회사,NNG
경주 여행,4,제휴,NNG
경주 여행,4,숙소,NNG
경주 여행,4,저렴,XR
경주 여행,4,예약,NNG
경주 여행,4,나선다,VV+EC
경주 여행,4,도착,NNG
경주 여행,4,자마자,EC
경주 여행,4,고파서,VA+EC
경주 여행,4,우리,NP
경주 여행,4,가족,NNG
경주 여행,4,국수집,NNG
경주 여행,4,본다,VV+EC
경주 여행,4,와이프,NNG
경주 여행,4,검색,NNG
경주 여행,4,해서,XSV+EC
경주 여행,4,찾아간,VV+ETM
경주 여행,4,갈비,NNG
경주 여행,4,국수,NNG
경주 여행,5,경북,NNP
경주 여행,5,불국사,NNG
경주 여행,5,단아,XR
경주 여행,5,정숙,XR
경주 여행,5,묻어나,VV
경주 여행,5,겹벚꽃,NNG
경주 여행,5,벚꽃,NNG
경주 여행,5,벚꽃,NNG
경주 여행,5,즐기,VV
경주 여행,5,고수,NNG
경주 여행,5,라면,VCP+EC
경주 여행,5,서둘러,VV+EC
경주 여행,5,티켓,NNG
경주 여행,5,예약,NNG
경주 여행,5,다시,MAG
경주 여행,5,들썩이,VV
경주 여행,5,지역,NNG
경주 여행,5,벚꽃,NNG
경주 여행,5,거의,MAG
경주 여행,5,떨어지,VV
경주 여행,5,불국사,NNG
경주 여행,5,겹벚꽃,NNG
경주 여행,5,으로,JKB
경주 여행,5,유명,XR
경주 여행,5,불국사,NNP
경주 여행,5,입구,NNG
경주 여행,6,보문,NNG
경주 여행,6,단지,MAG
경주 여행,6,벚꽃,NNG
경주 여행,6,보문호,NNP
경주 여행,6,반길,VV+ETM
경주 여행,6,화사,XR
경주 여행,6,선사,NNG
경주 여행,6,17,SN
경주 여행,6,최적,NNG
경주 여행,6,지이,NNG
경주 여행,6,도로,NNG
경주 여행,6,꽃길,NNG
경주 여행,6,이른,VA+ETM
경주 여행,6,시각,NNG
경주 여행,6,와야,VV+EC
경주 여행,6,제대로,MAG
경주 여행,6,힐링,NNG
경주 여행,6,만개,NNG
경주 여행,6,아름다운,VA+ETM
경주 여행,6,경관,NNG
경주 여행,6,이루,VV
경주 여행,6,보문,NNG
경주 여행,6,단지,NNG
경주 여행,6,시가지,NNG
경주 여행,6,에서,JKB
경주 여행,6,동쪽,NNG
경주 여행,6,으로,JKB
경주 여행,6,10,SN
경주 여행,6,정도,NNG
